ID,x,y,z,rotX,rotY,rotZ,scale,建物名称,,
2,-630,0,-1330,0,0,0,0.07,家,,
2,-630,0,-1390,0,0,0,0.07,家,,
2,-700,0,-1330,0,0,0,0.07,家,,
2,-700,0,-1390,0,0,0,0.07,家,,
0,-900,0.25,-1300,0,0,0,0.05,地面,,
1,-810,0,-1260,0,0,0,0.05,カラオケ,,
3,-870,0,-1260,0,0,0,2.5,コンビニ,,
4,-900,0,-1300,0,0,0,0.03,発電機,,
5,-900,0,-1300,0,0,0,0.05,発電機(壊),,
6,-940,0,-1215,0,-90,0,0.05,マンション(小),,
7,-870,0,-1210,0,0,0,1.2,マンション(大),,
6,-860,0,-1320,0,90,0,0.05,マンション(小),,
8,-820,0,-1340,0,180,0,0.08,ワクドナルド,,
6,-1000,0,-1260,0,0,0,0.05,マンション(小),,
9,-940,0,-1260,0,0,0,0.05,アパート,,
9,-830,0,-1400,0,0,0,0.05,アパート,,
10,-960,0,-1360,0,0,0,0.03,時計台,,
2,-930,0,-1330,0,0,0,0.07,家,,
2,-930,0,-1390,0,0,0,0.07,家,,
2,-1000,0,-1330,0,0,0,0.07,家,,
2,-1000,0,-1390,0,0,0,0.07,家,,
12,0,0,0,0,0,0,0,電柱,,
13,0,5,0,0,0,0,0,,,
